클러스터,클러스터명,책,ISBN,KDC대분류,부가기호,독자대상,발행형태
2,육아서↔동화,똥볶이 할멈 :K-히어로 판타지,9791190409124,문학,74810,아동,전집·다권본
2,육아서↔동화,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",9791168127531,기술과학,13590,실용,단행본
2,육아서↔동화,"왜 유명한 거야, 이 그림?",9791167550712,예술,73600,아동,단행본
2,육아서↔동화,아홉 살 마음 사전,9788936447014,철학,73710,아동,단행본
2,육아서↔동화,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,9791196316808,총류,03370,교양,단행본
2,육아서↔동화,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,9788934965404,사회과학,13590,실용,단행본
2,육아서↔동화,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",9788950941819,기술과학,13590,실용,단행본
2,육아서↔동화,고양이 해결사 깜냥,9788936447694,문학,74810,아동,전집·다권본
2,육아서↔동화,너에게 들려주는 단단한 말,9791198682550,철학,43190,청소년,단행본
2,육아서↔동화,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,9791193506202,기술과학,03590,교양,단행본
2,육아서↔동화,긴긴밤,9788954677158,문학,73810,아동,단행본
2,육아서↔동화,순례 주택 :유은실 소설,9788949123493,문학,44800,청소년,전집·다권본
2,육아서↔동화,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,9791198752406,기술과학,03810,교양,단행본
2,육아서↔동화,만복이네 떡집,9788949161341,문학,74800,아동,전집·다권본
4,마흔의 위로와 교양,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",9791193128428,역사,03900,교양,단행본
4,마흔의 위로와 교양,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,9791191891287,문학,03810,교양,단행본
4,마흔의 위로와 교양,바다가 들리는 편의점,9791192579504,문학,03830,교양,단행본
4,마흔의 위로와 교양,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,9791198013026,사회과학,03320,교양,단행본
4,마흔의 위로와 교양,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,9791165341909,문학,03810,교양,단행본
4,마흔의 위로와 교양,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",9791197377143,문학,03810,교양,단행본
4,마흔의 위로와 교양,불편한 편의점 :김호연 장편소설,9791161571188,문학,03810,교양,단행본
4,마흔의 위로와 교양,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,9791198243430,역사,03910,교양,단행본
4,마흔의 위로와 교양,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,9791190538510,철학,03180,교양,단행본
4,마흔의 위로와 교양,세상의 마지막 기차역,9791191043754,문학,03830,교양,단행본
4,마흔의 위로와 교양,아버지의 해방일지 :정지아 장편소설,9788936438838,문학,03810,교양,단행본
5,어린이 지식·스포츠 만화,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,9791190007320,예술,74690,아동,전집·다권본
5,어린이 지식·스포츠 만화,채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,9791197578410,총류,74900,아동,전집·다권본
5,어린이 지식·스포츠 만화,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,9788934951278,총류,73300,아동,단행본
5,어린이 지식·스포츠 만화,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,9791198381811,예술,77690,아동,그림책·만화
5,어린이 지식·스포츠 만화,정재승의 인간 탐구 보고서,9788950983079,기술과학,74400,아동,전집·다권본
5,어린이 지식·스포츠 만화,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,9791186494431,예술,13630,실용,단행본
5,어린이 지식·스포츠 만화,흔한남매,9791168411685,문학,77810,아동,그림책·만화
5,어린이 지식·스포츠 만화,팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,총류,74030,아동,전집·다권본
5,어린이 지식·스포츠 만화,야구 만화 도감 :어려울 줄 알았는데 재밌어!,9791190007245,예술,74690,아동,전집·다권본
5,어린이 지식·스포츠 만화,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,9791171171019,자연과학,74400,아동,전집·다권본
