클러스터,ISBN,책,대분류,씨앗,크기,KDC대분류수,허브편중,내부평균굵기,별표,선정
1,9788954681155,홍학의 자리 :정해연 장편소설,문학,False,29,7,0.267,0.263,False,False
1,9791191114225,작별인사 :김영하 장편소설,문학,False,29,7,0.267,0.263,False,False
1,9791192953151,세상은 이야기로 만들어졌다 :신화·거짓말·유토피아,총류,True,29,7,0.267,0.263,False,False
1,9788954641630,쇼코의 미소 :최은영 소설,문학,False,29,7,0.267,0.263,False,False
1,9791190090261,천 개의 파랑 :천선란 장편소설,문학,False,29,7,0.267,0.263,False,False
1,9788954672214,"시선으로부터, :정세랑 장편소설",문학,False,29,7,0.267,0.263,False,False
1,9791192519135,이주하는 인류 :인구 대이동과 그들이 써내려간 역동의 세계사,사회과학,False,29,7,0.267,0.263,False,False
1,9791130689890,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,종교,True,29,7,0.267,0.263,False,False
1,9788954651820,내게 무해한 사람 :최은영 소설,문학,False,29,7,0.267,0.263,False,False
1,9788954616515,희랍어 시간 :한강 장편소설,문학,False,29,7,0.267,0.263,False,False
1,9788954691673,트러스트 :에르난 디아스 장편소설,문학,False,29,7,0.267,0.263,False,False
1,9791130646381,이처럼 사소한 것들 :클레어 키건 소설,문학,True,29,7,0.267,0.263,False,False
1,9788954651134,흰 :한강 소설,문학,False,29,7,0.267,0.263,False,False
1,9791190313186,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,총류,True,29,7,0.267,0.263,False,False
1,9788968331862,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,예술,True,29,7,0.267,0.263,False,False
1,9788934971351,철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책,철학,False,29,7,0.267,0.263,False,False
1,9788936433598,채식주의자:한강 연작소설,문학,False,29,7,0.267,0.263,False,False
1,9788954695053,아주 희미한 빛으로도 :최은영 소설,문학,False,29,7,0.267,0.263,False,False
1,9791130698199,맡겨진 소녀 :클레어 키건 소설,문학,False,29,7,0.267,0.263,False,False
1,9788954697941,두 사람의 인터내셔널 :김기태 소설,문학,False,29,7,0.267,0.263,False,False
1,9788901276533,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,문학,False,29,7,0.267,0.263,False,False
1,9788932020006,"바람이 분다, 가라 :한강 장편소설",문학,False,29,7,0.267,0.263,False,False
