클러스터,서가,책,ISBN,씨앗,연결강도,서가내연결수,대출건수,연결_백분위,대출_백분위,묻힘점수
2,아이와 함께 자라는 부모의 서가,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,9791193506202,True,2.117,5,14432,93.0,7.0,86.0
2,아이와 함께 자라는 부모의 서가,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,9791198752406,True,2.726,5,18136,100.0,29.0,71.0
2,아이와 함께 자라는 부모의 서가,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,9788934965404,False,1.469,4,21065,71.0,36.0,35.0
2,아이와 함께 자라는 부모의 서가,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,9791196316808,True,1.878,5,87568,86.0,64.0,22.0
2,아이와 함께 자라는 부모의 서가,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",9791168127531,True,1.372,4,23364,64.0,43.0,21.0
2,아이와 함께 자라는 부모의 서가,너에게 들려주는 단단한 말,9791198682550,False,0.751,2,17429,36.0,21.0,15.0
2,아이와 함께 자라는 부모의 서가,"왜 유명한 거야, 이 그림?",9791167550712,True,0.663,1,16425,21.0,14.0,7.0
2,아이와 함께 자라는 부모의 서가,고양이 해결사 깜냥,9788936447694,True,1.621,4,126765,79.0,86.0,-7.0
2,아이와 함께 자라는 부모의 서가,똥볶이 할멈 :K-히어로 판타지,9791190409124,False,0.712,2,76981,29.0,57.0,-28.0
2,아이와 함께 자라는 부모의 서가,긴긴밤,9788954677158,False,1.032,3,122903,50.0,79.0,-29.0
2,아이와 함께 자라는 부모의 서가,아홉 살 마음 사전,9788936447014,True,1.173,2,133544,57.0,93.0,-36.0
2,아이와 함께 자라는 부모의 서가,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",9788950941819,False,0.5,2,27099,14.0,50.0,-36.0
2,아이와 함께 자라는 부모의 서가,만복이네 떡집,9788949161341,False,0.834,2,153245,43.0,100.0,-57.0
2,아이와 함께 자라는 부모의 서가,순례 주택 :유은실 소설,9788949123493,False,0.401,1,104213,7.0,71.0,-64.0
4,위로가 필요한 날의 소설과 교양,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",9791193128428,True,2.422,4,19701,100.0,9.0,91.0
4,위로가 필요한 날의 소설과 교양,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,9791198243430,True,2.378,4,28747,91.0,18.0,73.0
4,위로가 필요한 날의 소설과 교양,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,9791190538510,True,1.621,5,37662,73.0,27.0,46.0
4,위로가 필요한 날의 소설과 교양,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,9791191891287,True,2.159,10,56326,82.0,55.0,27.0
4,위로가 필요한 날의 소설과 교양,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,9791198013026,True,1.263,4,41221,36.0,36.0,0.0
4,위로가 필요한 날의 소설과 교양,바다가 들리는 편의점,9791192579504,False,0.329,2,49927,18.0,45.0,-27.0
4,위로가 필요한 날의 소설과 교양,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,9791165341909,True,1.342,5,163900,55.0,91.0,-36.0
4,위로가 필요한 날의 소설과 교양,불편한 편의점 :김호연 장편소설,9791161571188,True,1.49,9,199164,64.0,100.0,-36.0
4,위로가 필요한 날의 소설과 교양,아버지의 해방일지 :정지아 장편소설,9788936438838,True,1.335,8,96819,45.0,82.0,-37.0
4,위로가 필요한 날의 소설과 교양,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",9791197377143,False,1.09,5,89559,27.0,73.0,-46.0
4,위로가 필요한 날의 소설과 교양,세상의 마지막 기차역,9791191043754,False,0.256,2,62309,9.0,64.0,-55.0
5,웃으며 읽는 어린이 교양,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,9791190007320,True,1.693,3,14670,100.0,20.0,80.0
5,웃으며 읽는 어린이 교양,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,9791198381811,True,1.648,3,13396,80.0,10.0,70.0
5,웃으며 읽는 어린이 교양,야구 만화 도감 :어려울 줄 알았는데 재밌어!,9791190007245,False,1.668,2,16846,90.0,30.0,60.0
5,웃으며 읽는 어린이 교양,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,9791171171019,True,0.474,2,22871,60.0,50.0,10.0
5,웃으며 읽는 어린이 교양,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,9788934951278,True,0.404,1,27082,50.0,60.0,-10.0
5,웃으며 읽는 어린이 교양,팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,9791169254069,True,0.234,2,17725,30.0,40.0,-10.0
5,웃으며 읽는 어린이 교양,흔한남매,9791168411685,True,1.614,6,92028,70.0,100.0,-30.0
5,웃으며 읽는 어린이 교양,정재승의 인간 탐구 보고서,9788950983079,False,0.334,2,87718,40.0,90.0,-50.0
5,웃으며 읽는 어린이 교양,채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,9791197578410,True,0.183,2,52300,20.0,80.0,-60.0
5,웃으며 읽는 어린이 교양,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,9791186494431,True,0.179,1,40039,10.0,70.0,-60.0
