ISBN,책,차수,키워드,weight
9788936438838,아버지의 해방일지 :정지아 장편소설,49,정지아,7
9788936438838,아버지의 해방일지 :정지아 장편소설,49,독자,4
9788936438838,아버지의 해방일지 :정지아 장편소설,49,아버지,4
9788936438838,아버지의 해방일지 :정지아 장편소설,49,김유정문학상,3
9788936438838,아버지의 해방일지 :정지아 장편소설,49,심훈문학대상,3
9788936438838,아버지의 해방일지 :정지아 장편소설,49,역사,3
9788936438838,아버지의 해방일지 :정지아 장편소설,49,빨치산의 딸,3
9788936438838,아버지의 해방일지 :정지아 장편소설,49,이효석문학상,3
9788936438838,아버지의 해방일지 :정지아 장편소설,49,상흔,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,빨치산,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,전직,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,서사,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,배경,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,정확,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,선사,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,해방,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,찬사,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,해갈,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,시대,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,시간,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,평단,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,수상,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,죽음,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,사랑,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,문학성,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,묘사,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,가족,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,창비,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,입증,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,3일간,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,32년,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,2020년,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,현재적,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,2000년대 이후 한국소설,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,이번,2
9788936438838,아버지의 해방일지 :정지아 장편소설,49,현존,2
