rank,library_code,library_name,address,owned_books,coverage_pct,cluster_2_owned,cluster_2_total,cluster_4_owned,cluster_4_total,cluster_5_owned,cluster_5_total,collection_size,case_role,display_count,guide_count,missing_count
1,111501,강동구립둔촌도서관,서울특별시 강동구 동남로49길 21-8,35,100.0,14,14,11,11,10,10,40000,,0,0,0
2,111036,광진정보도서관,서울특별시 광진구 아차산로78길 90,35,100.0,14,14,11,11,10,10,407171,,0,0,0
3,111041,도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,35,100.0,14,14,11,11,10,10,251199,,0,0,0
4,111015,서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113,35,100.0,14,14,11,11,10,10,447125,,0,0,0
5,111008,서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31,35,100.0,14,14,11,11,10,10,366701,,0,0,0
6,111526,강남구립개포하늘꿈도서관,서울특별시 강남구 개포로110길 54,35,100.0,14,14,11,11,10,10,39903,본사례(소형 4만권),3,32,0
7,111070,강남구립논현도서관,서울특별시 강남구 학동로43길 17,35,100.0,14,14,11,11,10,10,44513,,0,0,0
8,111445,동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,35,100.0,14,14,11,11,10,10,144178,,0,0,0
9,111065,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60 ,35,100.0,14,14,11,11,10,10,257733,,0,0,0
10,111119,성동구립 무지개도서관,서울특별시 성동구 고산자로 270,35,100.0,14,14,11,11,10,10,41667,,0,0,0
11,111035,성동구립도서관,서울특별시 성동구 고산자로10길 9,35,100.0,14,14,11,11,10,10,447109,대조군(대형 44.7만권),21,13,1
12,111499,성동구립 매봉산 숲속도서관,서울특별시 성동구 매봉길 49-29,35,100.0,14,14,11,11,10,10,88590,,0,0,0
13,711359,방아다리문학도서관,서울특별시 양천구 화곡로4길 10,35,100.0,14,14,11,11,10,10,58969,,0,0,0
14,111013,서울특별시교육청동작도서관,서울특별시 동작구 장승배기로 94,35,100.0,14,14,11,11,10,10,107002,,0,0,0
15,111485,불암도서관,서울특별시 노원구 중계로 106,35,100.0,14,14,11,11,10,10,76892,,0,0,0
16,111018,서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10,35,100.0,14,14,11,11,10,10,234140,,0,0,0
17,111040,금천구립독산도서관,서울특별시 금천구 독산로54길 114,35,100.0,14,14,11,11,10,10,194820,,0,0,0
18,111467,마포중앙도서관,서울특별시 마포구 성산로 128,35,100.0,14,14,11,11,10,10,271147,,0,0,0
19,111488,중랑구립상봉도서관,서울특별시 중랑구 동일로114길 10,35,100.0,14,14,11,11,10,10,78021,,0,0,0
20,111471,궁동어린이도서관,서울특별시 구로구 오리로 1352,35,100.0,14,14,11,11,10,10,34367,,0,0,0
21,111491,구립은뜨락도서관,서울특별시 은평구 통일로 972,35,100.0,14,14,11,11,10,10,52507,,0,0,0
22,111099,구로꿈나무어린이도서관,서울특별시 구로구 구로동로26길 54,35,100.0,14,14,11,11,10,10,123606,,0,0,0
23,111453,강서구립가양도서관,서울특별시 강서구 양천로61길 101,34,97.1,14,14,11,11,9,10,76528,,0,0,0
24,111014,서울특별시교육청마포평생학습관,서울특별시 마포구 홍익로2길 16,34,97.1,14,14,11,11,9,10,466606,,0,0,0
25,111016,서울특별시교육청서대문도서관,서울특별시 서대문구 모래내로 412,34,97.1,14,14,11,11,9,10,428712,,0,0,0
26,111314,서울도서관,서울특별시 중구 세종대로 110,34,97.1,14,14,11,11,9,10,619875,,0,0,0
27,111031,서울특별시교육청마포평생학습관아현분관,서울특별시 마포구 마포대로 224,34,97.1,14,14,11,11,9,10,276099,,0,0,0
28,111476,서초구립내곡도서관,서울특별시 서초구 청계산로7길 9-20,34,97.1,14,14,11,11,9,10,105080,,0,0,0
29,111377,서초구립반포도서관,서울특별시 서초구 고무래로 34,34,97.1,14,14,11,11,9,10,227740,,0,0,0
30,111121,선유도서관,서울특별시 영등포구 선유로 43가길 10-8,34,97.1,14,14,11,11,9,10,63941,,0,0,0
31,111005,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29,34,97.1,14,14,11,11,9,10,423359,,0,0,0
32,111011,서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556,34,97.1,14,14,11,11,9,10,447273,,0,0,0
33,111004,서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57,34,97.1,14,14,11,11,9,10,390229,,0,0,0
34,111531,서초구립방배숲환경도서관,서울특별시 서초구 서초대로 160-7,34,97.1,14,14,11,11,9,10,48824,,0,0,0
35,111019,서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160,34,97.1,14,14,11,11,9,10,508592,,0,0,0
36,111473,용산꿈나무도서관,"서울특별시 용산구 백범로 329, 3층",34,97.1,14,14,11,11,9,10,72745,,0,0,0
37,111452,구립은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,34,97.1,14,14,11,11,9,10,86376,,0,0,0
38,111434,금천구립시흥도서관,서울특별시 금천구 금하로 764,34,97.1,14,14,11,11,9,10,127114,,0,0,0
39,111058,노원중앙도서관,서울특별시 노원구 노원로34길 43,34,97.1,14,14,11,11,9,10,186379,,0,0,0
40,111495,자양한강도서관,서울특별시 광진구 뚝섬로52길 66,34,97.1,14,14,11,11,9,10,74788,,0,0,0
41,111037,강북문화정보도서관,서울특별시 강북구 오현로 145,34,97.1,14,14,11,11,9,10,211869,,0,0,0
42,111239,화랑도서관,서울특별시 노원구 노원로1나길 10,34,97.1,14,14,11,11,9,10,75101,,0,0,0
43,111075,강남구립행복한도서관,"서울특별시 강남구 영동대로65길 24, 대치2문화센터 3층",34,97.1,14,14,11,11,9,10,42523,,0,0,0
44,111044,성북정보도서관,서울특별시 성북구 화랑로18자길 13 ,34,97.1,14,14,11,11,9,10,280070,,0,0,0
45,711268,세곡도서관,서울특별시 강남구 밤고개로 286,34,97.1,14,14,11,11,9,10,56463,,0,0,0
46,111493,서초구립양재도서관,서울특별시 서초구 양재천로 33,34,97.1,14,14,11,11,9,10,111918,,0,0,0
47,111124,구립응암도서관,서울특별시 은평구 가좌로7길 15,34,97.1,14,14,11,11,9,10,40225,,0,0,0
48,111083,대림도서관,서울특별시 영등포구 도신로 27,34,97.1,14,14,11,11,9,10,123809,,0,0,0
49,111111,문래도서관,서울특별시 영등포구 문래로20길 49,34,97.1,13,14,11,11,10,10,122590,,0,0,0
50,111129,도봉구립학마을도서관,서울특별시 도봉구 시루봉로 128,34,97.1,14,14,11,11,9,10,73240,,0,0,0
51,111549,강동중앙도서관,서울특별시 강동구 양재대로84길 63,33,94.3,14,14,9,11,10,10,124463,,0,0,0
52,111101,강동구립해공도서관,서울특별시 강동구 올림픽로 702,33,94.3,13,14,11,11,9,10,90000,,0,0,0
53,111546,강동숲속도서관,서울특별시 강동구 구천면로 587,33,94.3,14,14,9,11,10,10,70000,,0,0,0
54,111045,관악중앙도서관,서울특별시 관악구 신림로3길 35,33,94.3,14,14,11,11,8,10,330469,,0,0,0
55,111446,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,33,94.3,14,14,10,11,9,10,48275,,0,0,0
56,111533,강남구립논현문화마루도서관,"서울특별시 강남구 논현로131길 40, 4-5층",33,94.3,14,14,9,11,10,10,26524,,0,0,0
57,111347,강남구립도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,33,94.3,14,14,11,11,8,10,127152,,0,0,0
58,111012,서울특별시교육청동대문도서관,서울특별시 동대문구 천호대로4길 22,33,94.3,14,14,11,11,8,10,458191,,0,0,0
59,111030,서울특별시교육청송파도서관,서울특별시 송파구 동남로 263,33,94.3,14,14,11,11,8,10,235612,,0,0,0
60,111479,강남구립못골도서관,서울특별시 강남구 자곡로 116,33,94.3,14,14,11,11,8,10,91479,,0,0,0
61,111474,강남구립못골한옥어린이도서관,서울특별시 강남구 자곡로 7길 3,33,94.3,13,14,11,11,9,10,43780,,0,0,0
62,111022,서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13,33,94.3,14,14,11,11,8,10,435272,,0,0,0
63,111051,서대문구립이진아기념도서관,서울특별시 서대문구 독립문공원길 80,33,94.3,14,14,11,11,8,10,269039,,0,0,0
64,111442,성동구립 청계도서관,서울특별시 성동구 마장로 141,33,94.3,14,14,11,11,8,10,156357,,0,0,0
65,111078,강동구립성내도서관,서울특별시 강동구 성안로 106-1,33,94.3,14,14,11,11,8,10,85000,,0,0,0
66,111176,강동구립암사도서관,서울특별시 강동구 고덕로20길 42,33,94.3,14,14,11,11,8,10,95000,,0,0,0
67,111073,강남구립정다운도서관,서울특별시 강남구 학동로67길 11,33,94.3,14,14,10,11,9,10,80808,,0,0,0
68,111303,장안어린이도서관,서울특별시 동대문구 장한로26다길 10,33,94.3,13,14,11,11,9,10,52434,,0,0,0
69,111461,영어특성화도서관,"서울특별시 양천구 목동동로 81, 7층",33,94.3,14,14,11,11,8,10,122735,,0,0,0
70,111003,서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45,33,94.3,14,14,11,11,8,10,298623,,0,0,0
71,111068,성동구립 금호도서관,서울특별시 성동구 난계로 20,33,94.3,14,14,11,11,8,10,192255,,0,0,0
72,111516,까망돌도서관,서울특별시 동작구 서달로 129,33,94.3,14,14,11,11,8,10,43948,,0,0,0
73,111482,구립내를건너서숲으로도서관,서울특별시 은평구 증산로17길 50,33,94.3,14,14,11,11,8,10,71537,,0,0,0
74,111062,글빛정보도서관,서울특별시 관악구 관악로30길 23,33,94.3,14,14,11,11,8,10,120783,,0,0,0
75,111042,은평구립도서관,서울특별시 은평구 통일로78가길 13-84,33,94.3,14,14,11,11,8,10,338305,,0,0,0
76,111462,마포푸르메어린이도서관,서울특별시 마포구 월드컵북로 494,33,94.3,14,14,9,11,10,10,22583,,0,0,0
77,111242,목마교육도서관,서울특별시 양천구 목동서로 41,33,94.3,14,14,11,11,8,10,64440,,0,0,0
78,111504,양천중앙도서관,서울특별시 양천구 신정로7길 81,33,94.3,14,14,11,11,8,10,117452,,0,0,0
79,111220,어울림도서관,서울특별시 중구 신당동 52-164,33,94.3,14,14,11,11,8,10,86136,,0,0,0
80,111113,금천구립금나래도서관,서울특별시 금천구 시흥대로73길 70,33,94.3,14,14,11,11,8,10,122211,,0,0,0
81,111097,강서구립푸른들청소년도서관,서울특별시 강서구 강서로45다길 71,33,94.3,14,14,11,11,8,10,92452,,0,0,0
82,111378,강서구립곰달래도서관,서울특별시 강서구 강서로5길 50,33,94.3,14,14,11,11,8,10,89676,,0,0,0
83,111067,강서구립길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,33,94.3,14,14,9,11,10,10,93341,,0,0,0
84,111116,중곡문화체육센터도서관,서울특별시 광진구 능동로 433,33,94.3,14,14,11,11,8,10,126373,,0,0,0
85,111478,중랑구립양원숲속도서관,서울특별시 중랑구 송림길 172,33,94.3,13,14,10,11,10,10,68894,,0,0,0
86,111034,중랑구립정보도서관,서울특별시 중랑구 신내로15길 197,33,94.3,14,14,11,11,8,10,328160,,0,0,0
87,111077,금천구립가산도서관,서울특별시 금천구 가산로5길 43,33,94.3,14,14,11,11,8,10,157265,,0,0,0
88,111076,성동구립 용답도서관,서울특별시 성동구 용답중앙3길 10,33,94.3,14,14,11,11,8,10,180568,,0,0,0
89,111458,구립구산동도서관마을,서울특별시 은평구 연서로13길 29-23,32,91.4,13,14,11,11,8,10,95921,,0,0,0
90,111487,장위행복누림도서관,서울특별시 성북구 장위로21다길 53,32,91.4,14,14,10,11,8,10,29042,,0,0,0
91,711265,강남구립열린도서관,"서울특별시 강남구 일원로 115, 삼성생명빌딩 B동 203호",32,91.4,14,14,11,11,7,10,69021,,0,0,0
92,111056,강남구립즐거운도서관,"서울특별시 강남구 도곡로77길 23, 4층",32,91.4,14,14,11,11,7,10,36213,,0,0,0
93,111125,강동구립강일도서관,"서울특별시 강동구 아리수로93길 9-14, 5층",32,91.4,14,14,11,11,7,10,95000,,0,0,0
94,111049,거마도서관,서울특별시 송파구 거마로2길 19,32,91.4,13,14,11,11,8,10,78090,,0,0,0
95,111240,개울건강도서관,서울특별시 양천구 중앙로52길 56,32,91.4,14,14,11,11,7,10,51256,,0,0,0
96,111470,강동구립천호도서관,"서울특별시 강동구 성안로 31마길 1, 2층",32,91.4,14,14,11,11,7,10,56000,,0,0,0
97,111160,은천동작은도서관,서울특별시 관악구 봉천로33나길 30,32,91.4,14,14,11,11,7,10,75280,,0,0,0
98,111007,서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로 295,32,91.4,14,14,11,11,7,10,393953,,0,0,0
99,111548,서울특별시교육청강서도서관가양관,서울특별시 강서구 양천로55길 22,32,91.4,14,14,10,11,8,10,36260,,0,0,0
100,111344,성동구립 성수도서관,서울특별시 성동구 뚝섬로1길 43,32,91.4,14,14,11,11,7,10,63877,,0,0,0
101,111439,사당솔밭도서관,서울특별시 동작구 솔밭로 86,32,91.4,14,14,11,11,7,10,93800,,0,0,0
102,111020,서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48,32,91.4,14,14,11,11,7,10,501769,,0,0,0
103,711492,세곡마루도서관,"서울특별시 강남구 헌릉로590길 68, 2층",32,91.4,14,14,11,11,7,10,13656,,0,0,0
104,111472,송파위례도서관,서울특별시 송파구 위례광장로 210,32,91.4,14,14,11,11,7,10,87244,,0,0,0
105,111435,송파글마루도서관,서울특별시 송파구 충민로 120,32,91.4,14,14,11,11,7,10,143899,,0,0,0
106,111502,김영삼도서관,서울특별시 동작구 매봉로 1,32,91.4,14,14,11,11,7,10,67595,,0,0,0
107,111085,월계도서관,서울특별시 노원구 월계로 319,32,91.4,14,14,10,11,8,10,59073,,0,0,0
108,111098,강서구립꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,32,91.4,14,14,11,11,7,10,98173,,0,0,0
109,111309,강서구립등빛도서관,서울특별시 강서구 강서로62길 48,32,91.4,14,14,11,11,7,10,115617,,0,0,0
110,111118,강서구립우장산숲속도서관,서울특별시 강서구 우현로 34,32,91.4,14,14,11,11,7,10,76196,,0,0,0
111,111084,풍납도서관,서울특별시 송파구 풍성로8길 5,32,91.4,13,14,11,11,8,10,48086,,0,0,0
112,111489,구로기적의도서관,서울특별시 구로구 구로중앙로40길 24,31,88.6,13,14,11,11,7,10,40116,,0,0,0
113,111069,강남구립청담도서관,서울특별시 강남구 압구정로79길 26,31,88.6,13,14,10,11,8,10,65150,,0,0,0
