ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9791161571188,불편한 편의점 :김호연 장편소설,8,문학,True,16,34
9788936438838,아버지의 해방일지 :정지아 장편소설,8,문학,True,25,30
9791167740984,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,True,23,29
9791191114768,단 한 번의 삶,8,문학,False,0,28
9791168473690,세이노의 가르침 :피보다 진하게 살아라,3,사회과학,True,19,24
9791192300818,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,True,23,23
9788954682152,작별하지 않는다 :한강 장편소설,8,문학,True,24,20
9791161571379,불편한 편의점 :김호연 장편소설,8,문학,False,0,19
9791130646381,이처럼 사소한 것들 :클레어 키건 소설,8,문학,True,23,19
9791141602376,안녕이라 그랬어 :김애란 소설,8,문학,False,0,18
9791192389325,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,True,22,18
9788936439743,혼모노 :성해나 소설집,8,문학,False,0,15
9788901276533,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,8,문학,False,0,14
9791169851053,어른의 행복은 조용하다,8,문학,False,0,13
9788901260716,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,3,사회과학,True,20,12
9791198517425,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,3,사회과학,True,21,12
9788936434120,소년이 온다 :한강 장편소설,8,문학,True,22,12
9791168411685,흔한남매,8,문학,False,0,11
9788997575169,원씽 :복잡한 세상을 이기는 단순함의 힘,3,사회과학,False,0,11
9791168418011,흔한남매,8,문학,False,0,11
9791168415232,흔한남매,8,문학,False,0,10
9791158682798,(읽으면서 바로 써먹는) 어린이 세계 여행,9,역사,True,16,10
9791191891287,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,8,문학,True,18,10
9791141601300,이중 하나는 거짓말 :김애란 장편소설,8,문학,False,0,10
9791158682842,(읽으면서 바로 써먹는) 어린이 감정 표현,1,철학,False,0,10
9791188331796,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,3,사회과학,True,25,9
9791158682712,(읽으면서 바로 써먹는) 어린이 세계사 퀴즈,9,역사,False,0,9
9791158682637,(읽으면서 바로 써먹는) 어린이 세계사 퀴즈,9,역사,False,0,9
9791141602451,절창 :구병모 장편소설,8,문학,False,0,9
