책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,역사,False,3,True,5.3,1.0,1.0,1.0,7.95,False,9791193128428,9791198243430
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",나는 읽고 쓰고 버린다 :손웅정의 말,예술,예술,False,3,True,6.0,0.843,0.843,0.843,7.588,False,9791190382502,9791191859836
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,기술과학,False,3,True,5.6,0.843,0.843,0.843,7.082,False,9791140702589,9791193080146
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,철학,False,3,True,5.8,0.843,0.751,0.751,6.537,False,9791169850445,9791192625553
느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,2,True,3.0,0.843,0.843,0.843,3.794,False,9791193080146,9791198553317
놓지 마 맞춤법,놓지 마 어휘 :한자어,언어,언어,False,3,True,2.5,1.0,1.0,1.0,3.75,False,9788934942641,9788934990987
돈의 심리학 :당신은 왜 부자가 되지 못했는가,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,3,True,5.4,0.595,0.438,0.438,3.545,False,9791191056372,9791198517425
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",예술,예술,False,3,True,2.5,0.843,0.843,0.843,3.162,False,9791130648385,9791190382502
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,나는 읽고 쓰고 버린다 :손웅정의 말,예술,예술,False,3,True,2.4,0.843,0.843,0.843,3.035,False,9791130648385,9791191859836
나는 오늘도 너에게 화를 냈다 :엄마들의 고민을 명쾌하게 풀어낸 아홉 가지 현실 육아 솔루션,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,3,False,2.9,1.0,1.0,1.0,2.9,False,9788952242433,9791168127531
의사 어벤저스 :어린이 의학 동화,어린 왕자,기술과학,문학,True,3,False,2.9,1.0,1.0,1.0,2.9,False,9788957361900,9788957361955
아들 때문에 미쳐버릴 것 같은 엄마들에게 :큰 소리 내지 않고 아이를 키우는 법,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,3,False,2.8,1.0,1.0,1.0,2.8,False,9788952234650,9791168127531
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,(애매한 것을 속 시원하게 알려 주는) 알쏭달쏭 상담소,총류,기술과학,True,3,False,2.8,1.0,1.0,1.0,2.8,False,9788934951278,9791191426090
축구 만화 도감 :재밌을 줄 알았는데 멋있어!,단순할 줄 알았는데 짜릿해! 농구 만화 도감,예술,미상,False,3,False,2.8,1.0,1.0,1.0,2.8,False,9791190007320,9791190007412
