cluster_id,shelf_name,isbn,title,kdc_category,is_seed,internal_strength,internal_degree,addition_symbol,reader_group,publication_form,loan_count,seoul_library_count,top_keywords
2,아이와 함께 자라는 부모의 서가,9791198752406,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,기술과학,True,2.726,5,03810,교양,단행본,18136,273,아이; 엄마; 예민; 옆집; 경험
2,아이와 함께 자라는 부모의 서가,9791193506202,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,기술과학,True,2.117,5,03590,교양,단행본,14432,263,가족; 가정; 자존감; 자녀; 아이
2,아이와 함께 자라는 부모의 서가,9791196316808,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,총류,True,1.878,5,03370,교양,단행본,87568,295,독서법; 공부머리 독서법; 아이; 공부머리; 독서
2,아이와 함께 자라는 부모의 서가,9788936447694,고양이 해결사 깜냥,문학,True,1.621,4,74810,아동,전집·다권본,126765,312,깜냥; 아파트; 창비; 고양이 해결사 깜냥; 고양이
2,아이와 함께 자라는 부모의 서가,9788934965404,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기,사회과학,False,1.469,4,13590,실용,단행본,21065,273,국어; 독서; 초등; 달인; 서울대학교
2,아이와 함께 자라는 부모의 서가,9791168127531,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,True,1.372,4,13590,실용,단행본,23364,229,아들; 게임; 아이; 부모; TV
2,아이와 함께 자라는 부모의 서가,9788936447014,아홉 살 마음 사전,철학,True,1.173,2,73710,아동,단행본,133544,320,표현; 감정; 아홉 살 마음 사전; 어린이; 마음
2,아이와 함께 자라는 부모의 서가,9788954677158,긴긴밤,문학,False,1.032,3,73810,아동,단행본,122903,327,긴긴밤; 마지막; 문학동네어린이문학상; 코뿔소; 제21회
2,아이와 함께 자라는 부모의 서가,9788949161341,만복이네 떡집,문학,False,0.834,2,74800,아동,전집·다권본,153245,306,변화; 만복; 만복이가; 만복이네 떡집; 행동
2,아이와 함께 자라는 부모의 서가,9791198682550,너에게 들려주는 단단한 말,철학,False,0.751,2,43190,청소년,단행본,17429,260,사람; 생각; 세상; 인생; 마음
2,아이와 함께 자라는 부모의 서가,9791190409124,똥볶이 할멈 :K-히어로 판타지,문학,False,0.712,2,74810,아동,전집·다권본,76981,259,아이들; 할멈; 히어로; 똥볶; 오랑우탄 인간의 최후
2,아이와 함께 자라는 부모의 서가,9791167550712,"왜 유명한 거야, 이 그림?",예술,True,0.663,1,73600,아동,단행본,16425,206,모나리자; 키스; 그림; 미술; 기억의 지속
2,아이와 함께 자라는 부모의 서가,9788950941819,"(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이",기술과학,False,0.5,2,13590,실용,단행본,27099,261,아이; 부모; 부모연습; 육아; 동기
2,아이와 함께 자라는 부모의 서가,9788949123493,순례 주택 :유은실 소설,문학,False,0.401,1,44800,청소년,전집·다권본,104213,285,만국기 소년; 나의 린드그렌 선생님; 마지막 이벤트; 유은실; 변두리
4,위로가 필요한 날의 소설과 교양,9791193128428,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",역사,True,2.422,4,03900,교양,단행본,19701,254,역사; 전쟁; 세계사; 미국; 문명
4,위로가 필요한 날의 소설과 교양,9791198243430,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,True,2.378,4,03910,교양,단행본,28747,283,역사; 한국사; 최소한의 한국사; 조선; 강국
4,위로가 필요한 날의 소설과 교양,9791191891287,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,문학,True,2.159,10,03810,교양,단행본,56326,284,메리골드 마음 세탁소; 세탁소; 기억; 수상; 힐링
4,위로가 필요한 날의 소설과 교양,9791190538510,만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,철학,True,1.621,5,03180,교양,단행본,37662,245,사람; 인생; 파킨슨병; 환자; 정신분석
4,위로가 필요한 날의 소설과 교양,9791161571188,불편한 편의점 :김호연 장편소설,문학,True,1.49,9,03810,교양,단행본,199164,327,망원동 브라더스; 편의점; 김호연; 불편한 편의점; 청파동
