소스책,소스KDC,소스대분류,소스class_no,연관책,연관KDC,연관대분류,연관class_no,연관class_nm,KDC출처,교차여부
불편한 편의점 :김호연 장편소설,8,문학,813.7,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,아버지의 해방일지 :정지아 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",8,문학,813.7,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,달러구트 꿈 백화점 :이미예 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,순례 주택 :유은실 소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,망원동 브라더스 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,소년이 온다 :한강 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
불편한 편의점 :김호연 장편소설,8,문학,813.7,바다가 들리는 편의점,8,문학,833.6,문학 > 일본문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,밝은 밤 :최은영 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",8,문학,813.7,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,작별하지 않는다 :한강 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,하얼빈 :김훈 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,순례 주택 :유은실 소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,작별인사 :김영하 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
아버지의 해방일지 :정지아 장편소설,8,문학,813.62,소년이 온다 :한강 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",8,문학,813.7,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,아버지의 해방일지 :정지아 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,아몬드 :손원평 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,순례 주택 :유은실 소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,세상의 마지막 기차역,8,문학,833.6,문학 > 일본문학 > 소설,사전,False
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다,8,문학,813.7,지구 끝의 온실 :김초엽 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,작별하지 않는다 :한강 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,채식주의자:한강 연작소설,8,문학,813.6,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,채식주의자 :한강 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,모순 :양귀자 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,아버지의 해방일지 :정지아 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,희랍어 시간 :한강 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,흰 :한강 소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
소년이 온다 :한강 장편소설,8,문학,813.62,홍학의 자리 :정해연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,False
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,세이노의 가르침 :피보다 진하게 살아라,3,사회과학,325.211,사회과학 > 경제학 > 경영관리,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,아버지의 해방일지 :정지아 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",4,자연과학,490.99,자연과학 > 동물학 > 동물학,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,이처럼 사소한 것들 :클레어 키건 소설,8,문학,843.6,문학 > 영미문학 > 소설,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,1,철학,165.47,"철학 > 서양철학 > 독일, 오스트리아철학",사전,False
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,8,문학,848,문학 > 영미문학 > 르포르타주 및 기타,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,작별하지 않는다 :한강 장편소설,8,문학,813.62,문학 > 한국문학 > 소설,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,3,사회과학,325.211,사회과학 > 경제학 > 경영관리,사전,True
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,181.27,불편한 편의점 :김호연 장편소설,8,문학,813.7,문학 > 한국문학 > 소설,사전,True
