소스책,소스KDC,소스대분류,연관책,연관ISBN,연관KDC,연관대분류,연관class_nm,함께대출순위,교차,보편도df,IDF가중
백앤아 :교양이 층층 쌓이는 점프 맵,0,총류,백앤아 1 : 미스터리 100층 감옥 - 교양이 층층 쌓이는 점프 맵,9791192504216,,미상,,1,False,1,3.4011973816621555
백앤아 :교양이 층층 쌓이는 점프 맵,0,총류,흔한남매,9791164138197,8,문학,문학 > 한국문학 > 한국문학,6,True,5,1.791759469228055
백앤아 :교양이 층층 쌓이는 점프 맵,0,총류,흔한남매,9791168411685,8,문학,문학 > 한국문학 > 한국문학,7,True,5,1.791759469228055
백앤아 :교양이 층층 쌓이는 점프 맵,0,총류,흔한남매,9791168415232,8,문학,문학 > 한국문학 > 한국문학,8,True,5,1.791759469228055
백앤아 :교양이 층층 쌓이는 점프 맵,0,총류,흔한남매,9791168412477,8,문학,문학 > 한국문학 > 한국문학,9,True,5,1.791759469228055
백앤아 :교양이 층층 쌓이는 점프 맵,0,총류,흔한남매,9791164139897,8,문학,문학 > 한국문학 > 한국문학,10,True,5,1.791759469228055
채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,0,총류,정재승의 인간 탐구 보고서,9788950983079,5,기술과학,기술과학 > 의학 > 기초의학,10,True,1,3.4011973816621555
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,"이 책은 돈 버는 법에 관한 이야기 :서민갑부 고명환의 생각법, 독서법, 장사법",9791189686536,3,사회과학,사회과학 > 경제학 > 경영관리,1,True,1,3.4011973816621555
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,고전이 답했다 :마땅히 살아야 할 삶에 대하여,9791193939130,1,철학,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",2,True,1,3.4011973816621555
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,9791192389325,3,사회과학,사회과학 > 경제학 > 경영관리,3,True,4,2.0149030205422647
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,9791188331796,3,사회과학,사회과학 > 경제학 > 금융,4,True,5,1.791759469228055
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,책 읽고 매출의 신이 되다,9788947542623,3,사회과학,사회과학 > 경제학 > 경영관리,5,True,1,3.4011973816621555
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,9788901260716,3,사회과학,사회과학 > 경제학 > 경영관리,6,True,6,1.6094379124341003
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,사회과학 > 경제학 > 경영관리,7,True,7,1.455287232606842
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,고전이 답했다 :being better through the classics,9791193939314,3,사회과학,사회과학 > 경제학 > 경영관리,8,True,1,3.4011973816621555
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,거인의 노트 :인생에서 무엇을 보고 어떻게 기록할 것인가,9791130697529,3,사회과학,사회과학 > 경제학 > 경영관리,9,True,1,3.4011973816621555
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,0,총류,원씽 :복잡한 세상을 이기는 단순함의 힘,9788997575169,3,사회과학,사회과학 > 경제학 > 경영관리,10,True,5,1.791759469228055
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,사회과학 > 경제학 > 경영관리,1,True,7,1.455287232606842
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,2,True,8,1.3217558399823195
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",9791189327156,4,자연과학,자연과학 > 동물학 > 동물학,3,True,3,2.302585092994046
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,이처럼 사소한 것들 :클레어 키건 소설,9791130646381,8,문학,문학 > 영미문학 > 소설,4,True,3,2.302585092994046
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,5,True,11,1.0033021088637848
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,9791192300818,1,철학,"철학 > 서양철학 > 독일, 오스트리아철학",6,False,3,2.302585092994046
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,9788901276533,8,문학,문학 > 영미문학 > 르포르타주 및 기타,7,True,2,2.70805020110221
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,작별하지 않는다 :한강 장편소설,9788954682152,8,문학,문학 > 한국문학 > 소설,8,True,6,1.6094379124341003
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,9791192389325,3,사회과학,사회과학 > 경제학 > 경영관리,9,True,4,2.0149030205422647
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",1,철학,불편한 편의점 :김호연 장편소설,9791161571379,8,문학,문학 > 한국문학 > 소설,10,True,11,1.0033021088637848
