isbn_a,isbn_b,title_a,title_b,category_a,category_b,cross_category,reciprocal,rank_score,hub_correction,weight,recommendation_validation
9791193128428,9791198243430,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",(5천년 역사가 단숨에 이해되는) 최소한의 한국사,역사,역사,False,True,2.0,1.0,2.0,2
9791190382502,9791191859836,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",나는 읽고 쓰고 버린다 :손웅정의 말,예술,예술,False,True,2.0,0.834,1.6679,2
9791140702589,9791193080146,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,기술과학,False,True,2.0,0.834,1.6679,2
9791169850445,9791192625553,남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,철학,철학,False,True,1.9,0.834,1.5845,2
9791193080146,9791198553317,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,True,1.6,0.834,1.3343,1
9791191056372,9791198517425,돈의 심리학 :당신은 왜 부자가 되지 못했는가,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,True,1.9,0.571,1.0845,2
9791158510619,9791162540640,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,사회과학,철학,True,True,1.7,0.614,1.0446,0
9788934972464,9788983711892,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",코스모스 :특별판,역사,자연과학,True,False,1.0,1.0,1.0,0
9791193506202,9791198752406,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,기술과학,기술과학,False,False,1.0,1.0,1.0,2
9788952242433,9791168127531,나는 오늘도 너에게 화를 냈다 :엄마들의 고민을 명쾌하게 풀어낸 아홉 가지 현실 육아 솔루션,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",기술과학,기술과학,False,False,1.0,1.0,1.0,2
